feature	feature_kind	feature_label	feature_display	primary_theme	primary_theme_label	secondary_theme	expected_aging_direction	expected_direction_basis	confidence	evidence_source	evidence_citations	biological_role	interpretation_caution
clr__deuterosomal	clr	deuterosomal	deuterosomal	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	deuterosomal mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__em_cd8	clr	em_cd8	em cd8	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	em cd8 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__early_inp	clr	early_inp	early inp	neural_progenitor	Neural progenitor		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:24920630;PMID:21486944;PMID:42228282	early inp mapped to neural progenitor.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__early_iosn	clr	early_iosn	early iosn	immature_osn	Immature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	early iosn mapped to immature osn.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__early_mature_mosn	clr	early_mature_mosn	early mature mosn	mature_osn	Mature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	early mature mosn mapped to mature osn.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__fully_mature_mosn	clr	fully_mature_mosn	fully mature mosn	mature_osn	Mature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	fully mature mosn mapped to mature osn.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__gcb	clr	gcb	gcb	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	gcb mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__goblet	clr	goblet	goblet	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	goblet mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__inflammatory	clr	inflammatory	inflammatory	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	inflammatory mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__ionocyte	clr	ionocyte	ionocyte	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	ionocyte mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__late_inp	clr	late_inp	late inp	neural_progenitor	Neural progenitor		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:24920630;PMID:21486944;PMID:42228282	late inp mapped to neural progenitor.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__late_iosn	clr	late_iosn	late iosn	immature_osn	Immature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	high	cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	late iosn mapped to immature osn.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__lipid_associated	clr	lipid_associated	lipid associated	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	lipid associated mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__mv_ionocyte	clr	mv_ionocyte	mv ionocyte	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	mv ionocyte mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__mv_type1_chemosensory	clr	mv_type1_chemosensory	mv type1 chemosensory	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	mv type1 chemosensory mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__mv_type2	clr	mv_type2	mv type2	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	mv type2 mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__macrophage	clr	macrophage	macrophage	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	macrophage mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__mucous_gland	clr	mucous_gland	mucous gland	bowman_gland_secretory	Bowman gland/secretory		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature	PMID:38903957;PMID:42228282	mucous gland mapped to bowman gland/secretory.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
clr__multiciliated	clr	multiciliated	multiciliated	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	multiciliated mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__naiveb	clr	naiveb	naiveb	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	naiveb mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__naive_cd4	clr	naive_cd4	naive cd4	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	naive cd4 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__naive_cd8	clr	naive_cd8	naive cd8	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	naive cd8 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__nonclassical	clr	nonclassical	nonclassical	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	nonclassical mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__olf_sus	clr	olf_sus	olf sus	sustentacular_barrier_detox	Sustentacular/barrier/detox		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature	PMID:38903957;PMID:42228282	olf sus mapped to sustentacular/barrier/detox.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
clr__plasmacell	clr	plasmacell	plasmacell	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	plasmacell mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__pre_dysfunctional	clr	pre_dysfunctional	pre dysfunctional	stress_senescence	Stress/senescence		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	medium	cell_state_annotation;literature	PMID:29934351;PMID:41461651;PMID:42228282	pre dysfunctional mapped to stress/senescence.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__proliferating_dc	clr	proliferating_dc	proliferating dc	cycling_proliferation	Cycling/proliferation	immune_inflammatory	context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature;cross_tissue_prior	PMID:28506465;PMID:29934351;PMID:42228282	proliferating dc mapped to cycling/proliferation.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
clr__proliferating_mac	clr	proliferating_mac	proliferating mac	cycling_proliferation	Cycling/proliferation	immune_inflammatory	context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature;cross_tissue_prior	PMID:28506465;PMID:29934351;PMID:42228282	proliferating mac mapped to cycling/proliferation.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
clr__proliferating_nk	clr	proliferating_nk	proliferating nk	cycling_proliferation	Cycling/proliferation	immune_inflammatory	context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature;cross_tissue_prior	PMID:28506465;PMID:29934351;PMID:42228282	proliferating nk mapped to cycling/proliferation.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
clr__proliferating_secretory	clr	proliferating_secretory	proliferating secretory	cycling_proliferation	Cycling/proliferation		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:42228282	proliferating secretory mapped to cycling/proliferation.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
clr__proliferating_tcell	clr	proliferating_tcell	proliferating tcell	cycling_proliferation	Cycling/proliferation	immune_inflammatory	context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature;cross_tissue_prior	PMID:28506465;PMID:29934351;PMID:42228282	proliferating tcell mapped to cycling/proliferation.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
clr__quiescent_hbc	clr	quiescent_hbc	quiescent hbc	basal_quiescence	Basal quiescence		positive	Reserve basal-cell/quiescent-state features can increase with impaired turnover.	high	cell_state_annotation;literature	PMID:21677159;PMID:27560601;PMID:37260223;PMID:42228282	quiescent hbc mapped to basal quiescence.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__serous	clr	serous	serous	bowman_gland_secretory	Bowman gland/secretory		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	cell_state_annotation;literature	PMID:38903957;PMID:42228282	serous mapped to bowman gland/secretory.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
clr__stressed_mosn	clr	stressed_mosn	stressed mosn	stress_senescence	Stress/senescence		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	medium	cell_state_annotation;literature	PMID:29934351;PMID:41461651;PMID:42228282	stressed mosn mapped to stress/senescence.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__suprabasal	clr	suprabasal	suprabasal	basal_activation	Basal activation		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	high	cell_state_annotation;literature	PMID:21677159;PMID:37260223;PMID:42228282	suprabasal mapped to basal activation.	Interpret with donor yield, chemistry, collection-method, and context sensitivity checks.
clr__tuft	clr	tuft	tuft	respiratory_metaplasia_ciliated_goblet	Respiratory metaplasia/ciliated/goblet		positive	Aging/inflammation is expected to promote respiratory-like metaplasia.	medium	cell_state_annotation;literature	PMID:41461651;PMID:38903957	tuft mapped to respiratory metaplasia/ciliated/goblet.	Associational donor-level feature; do not interpret as direct lineage flux.
clr__cdc1	clr	cdc1	cdc1	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	cdc1 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__cdc2	clr	cdc2	cdc2	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	cdc2 mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__maturedc	clr	maturedc	maturedc	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	maturedc mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
clr__pdc	clr	pdc	pdc	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	high	cell_state_annotation;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	pdc mapped to immune/inflammatory.	Separate inflammatory/immune composition from olfactory-regeneration-specific claims.
ratio__neuronal_fraction	ratio	neuronal_fraction	neuronal fraction	mature_osn	Mature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	medium	feature_engineering;cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	neuronal fraction mapped to mature osn.	Derived ratio; validate numerator and denominator state stability separately.
ratio__mature_neuron_fraction	ratio	mature_neuron_fraction	mature neuron fraction	mature_osn	Mature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	medium	feature_engineering;cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	mature neuron fraction mapped to mature osn.	Derived ratio; validate numerator and denominator state stability separately.
ratio__immature_to_mature	ratio	immature_to_mature	immature to mature	immature_osn	Immature OSN		positive	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	medium	feature_engineering;cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	immature to mature mapped to immature osn.	Derived ratio; validate numerator and denominator state stability separately.
ratio__progenitor_to_neuron	ratio	progenitor_to_neuron	progenitor to neuron	neural_progenitor	Neural progenitor		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	feature_engineering;cell_state_annotation;literature	PMID:28506465;PMID:24920630;PMID:21486944;PMID:42228282	progenitor to neuron mapped to neural progenitor.	Derived ratio; validate numerator and denominator state stability separately.
ratio__activated_to_quiescent_hbc	ratio	activated_to_quiescent_hbc	activated to quiescent hbc	basal_quiescence	Basal quiescence		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	feature_engineering;cell_state_annotation;literature	PMID:21677159;PMID:27560601;PMID:37260223;PMID:42228282	activated to quiescent hbc mapped to basal quiescence.	Derived ratio; validate numerator and denominator state stability separately.
ratio__inp_to_activated_hbc	ratio	inp_to_activated_hbc	inp to activated hbc	basal_activation	Basal activation		negative	Expected direction follows curated basal activation literature.	medium	feature_engineering;cell_state_annotation;literature	PMID:21677159;PMID:37260223;PMID:42228282	inp to activated hbc mapped to basal activation.	Derived ratio; validate numerator and denominator state stability separately.
ratio__inp_to_iosn	ratio	inp_to_iosn	inp to iosn	stress_senescence	Stress/senescence		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	feature_engineering;cell_state_annotation;literature	PMID:29934351;PMID:41461651;PMID:42228282	inp to iosn mapped to stress/senescence.	Derived ratio; validate numerator and denominator state stability separately.
ratio__mature_mosn_to_iosn	ratio	mature_mosn_to_iosn	mature mosn to iosn	mature_osn	Mature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	medium	feature_engineering;cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	mature mosn to iosn mapped to mature osn.	Derived ratio; validate numerator and denominator state stability separately.
ratio__stressed_to_mature_mosn	ratio	stressed_to_mature_mosn	stressed to mature mosn	mature_osn	Mature OSN	stress_senescence	positive	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	medium	feature_engineering;cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	stressed to mature mosn mapped to mature osn.	Derived ratio; validate numerator and denominator state stability separately.
ratio__lineage_fraction	ratio	lineage_fraction	lineage fraction	mature_osn	Mature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	medium	feature_engineering;cell_state_annotation;literature	PMID:28506465;PMID:29934351;PMID:38903957	lineage fraction mapped to mature osn.	Derived ratio; validate numerator and denominator state stability separately.
module_score__ad_amyloid_tau	module_score	ad_amyloid_tau	ad amyloid tau	stress_senescence	Stress/senescence		unknown	No prespecified direction; retained as exploratory or technical evidence.	low	module_definition;literature	PMID:29934351;PMID:41461651;PMID:42228282	ad amyloid tau disease-prior module; use only as exploratory stress-context evidence.	Disease-prior module; not evidence of disease prediction, diagnosis, or causality.
module_score__cilia_olfactory_transduction	module_score	cilia_olfactory_transduction	cilia olfactory transduction	mature_osn	Mature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	medium	module_definition;literature	PMID:28506465;PMID:29934351;PMID:38903957	cilia olfactory transduction mapped to mature osn.	Module score supports biological interpretation but is not independent validation.
module_score__hbc_activation_injury	module_score	hbc_activation_injury	hbc activation injury	basal_activation	Basal activation		context_dependent	Direction depends on injury, sampling context, or numerator/denominator balance.	medium	module_definition;literature	PMID:21677159;PMID:37260223;PMID:42228282	hbc activation injury mapped to basal activation.	Module score supports biological interpretation but is not independent validation.
module_score__hbc_identity	module_score	hbc_identity	hbc identity	basal_quiescence	Basal quiescence		positive	Reserve basal-cell/quiescent-state features can increase with impaired turnover.	medium	module_definition;literature	PMID:21677159;PMID:27560601;PMID:37260223;PMID:42228282	hbc identity mapped to basal quiescence.	Module score supports biological interpretation but is not independent validation.
module_score__immature_neuron	module_score	immature_neuron	immature neuron	immature_osn	Immature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	medium	module_definition;literature	PMID:28506465;PMID:29934351;PMID:38903957	immature neuron mapped to immature osn.	Module score supports biological interpretation but is not independent validation.
module_score__mature_olfactory_neuron	module_score	mature_olfactory_neuron	mature olfactory neuron	mature_osn	Mature OSN		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	medium	module_definition;literature	PMID:28506465;PMID:29934351;PMID:38903957	mature olfactory neuron mapped to mature osn.	Module score supports biological interpretation but is not independent validation.
module_score__neuroinflammation	module_score	neuroinflammation	neuroinflammation	immune_inflammatory	Immune/inflammatory		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	medium	module_definition;literature;cross_tissue_prior	PMID:41461651;PMID:29934351;PMID:42228282	neuroinflammation mapped to immune/inflammatory.	Module score supports biological interpretation but is not independent validation.
module_score__pd_synuclein_mito	module_score	pd_synuclein_mito	pd synuclein mito	stress_senescence	Stress/senescence		unknown	No prespecified direction; retained as exploratory or technical evidence.	low	module_definition;literature	PMID:29934351;PMID:41461651;PMID:42228282	pd synuclein mito disease-prior module; use only as exploratory stress-context evidence.	Disease-prior module; not evidence of disease prediction, diagnosis, or causality.
module_score__progenitor_neuroblast	module_score	progenitor_neuroblast	progenitor neuroblast	neural_progenitor	Neural progenitor		negative	Aging is expected to reduce regenerative neurogenesis and OSN maturation.	medium	module_definition;literature	PMID:28506465;PMID:24920630;PMID:21486944;PMID:42228282	progenitor neuroblast mapped to neural progenitor.	Module score supports biological interpretation but is not independent validation.
module_score__senescence_sasp	module_score	senescence_sasp	senescence sasp	stress_senescence	Stress/senescence		positive	Aging is expected to increase inflammatory, stress, and remodeling signals.	medium	module_definition;literature	PMID:29934351;PMID:41461651;PMID:42228282	senescence sasp mapped to stress/senescence.	Module score supports biological interpretation but is not independent validation.
